lat_deg,lon_deg,status_id,report_date,source,water_source_clean,water_tech_clean,clean_country_id,clean_country_name,clean_adm1,clean_adm2,clean_adm3,clean_adm4,activity_id,scheme_id,wpdx_id,install_year,installer,rehab_year,rehabilitator,management_clean,pay_clean,status_clean,fecal_coliform_presence,fecal_coliform_value,subjective_quality,notes,local_population,assigned_population,facility_type,water_source_category,water_tech_category,created_timestamp,dataset_title,rehab_priority,would_gain_access,usage_cap,criticality,pressure,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,is_urban,days_since_report,staleness,prediction_yes_0y,prediction_yes_2y,prediction_no_0y,prediction_no_2y,predicted_status_0y,predicted_status_2y,predicted_category,water_point_age,target,status_binary
-0.704865,34.9614033,Yes,2021-02-07,USAID/KEA KIWASH,Protected Well,Public Tapstand,KEN,Kenya,Nyamira,Kitutu Masaba,Gesima,,Nyamira-Enumerator-96Y35E,,6GFP7XW6+3H2,2014.0,,,,Community Management,,"Functional, not in use",,,"No, the water is not treated and safe for drinking",,1797.0,558.0,Improved,Well,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.3105175292153589,1.86,7360.94319527577,7412.256999942491,417.2484313211615,21904.598546587506,8261.306529402442,False,1764,57.347778873763644,,,,,,,,7.0,0,0
-0.143013,34.803921,Yes,2012-05-31,Virtual Kenya,Borehole/Tubewell,Hand Pump - Rope,KEN,Kenya,Kisumu,Nyando,Kobura,,ksm528,,6GFPVR43+QHV,2011.0,,,,Private Operator/Delegated Management,Fees collected – metered,Functional,,,Safe -Crisp and clear,,3439.0,88.0,Improved,Well,,2020-08-07T18:06:14,"Virtual Kenya_Busia, Kajiado, Kiambu, Kisumu_2012",,,300.0,0.0255888339633614,0.2933333333333333,4851.498914695565,2579.560318816573,3330.111376250075,7094.17365719443,13216.595941095418,False,4938,21.08680393439059,,,,,,,,1.0,0,0
0.212443,34.51673,Yes,2021-03-11,Living Water International,Protected Well,Hand Pump,KEN,Kenya,Kakamega,Butere,Marenyo - Shianda,,4613,,6GGP6G68+XMH,2018.0,,,,,,Non-Functional,,,,Emukangu Water Project,2727.0,99.0,Improved,Well,Hand Pump,2022-09-21T14:07:25,Living Water International_Global_September2022,,,300.0,0.0363036303630363,0.33,13231.875389895766,1113.577339517752,1443.1102918272284,27123.580665508005,2076.0570658804663,False,1732,57.92916295102826,,,,,,,,3.0,1,0
-2.03380725,37.89198936,No,2021-02-05,USAID/KEA KIWASH,Sand or Sub-surface Dam,Public Tapstand,KEN,Kenya,Makueni,Makueni,Kitise/Kithuki,,Makueni Enumerator-96TAGN,,6G9VXV8R+FQH,1996.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,,"Non-Functional, dry season",,,"No, the water is not treated and safe for drinking",,245.0,238.0,Improved,Sand or Sub-surface Dam,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,238.0,210.1282501220703,,0.9714285714285714,,26014.797368164836,13309.32727548127,13903.466882590026,75068.29218999484,28458.34953983264,False,1766,57.3116367144639,,,,,,,,25.0,1,0
0.109409,34.4515374,Yes,2021-02-05,USAID/KEA KIWASH,Undefined Well,Public Tapstand,KEN,Kenya,Siaya,Gem,North Gem,,Siaya-enumerators-96SJT3,,6GGP4F52+QJ7,2012.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,,"Functional, not in use",,,"No, the water is not treated and safe for drinking",,3303.0,252.0,Improved,Well,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.0762942779291553,0.84,54.37698778842872,6396.09813490805,6396.09813490805,38387.38553047155,9347.283173986025,False,1766,57.3116367144639,,,,,,,,9.0,0,0
-1.0334550142288208,34.558528900146484,Yes,2023-08-12,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Migori,Uriri,East Kanyamkago,,10340350,,6GCPXH85+JC6,2011.0,,,,,,Non-Functional,,,,,1736.0,1673.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.9637096774193548,5.576666666666667,45234.35887985215,9820.466857040825,1785.834243291942,46507.3792722096,10868.36959802118,False,848,76.54428010742052,,,,,,,,12.0,1,0
-1.74942,37.19604,No,2021-02-12,USAID/KEA KIWASH,Borehole/Tubewell,,KEN,Kenya,Makueni,Kilome,Kiima Kiu/Kalanzoni,,Makueni Enumerator-97DNES,,6GCV752W+6CM,2011.0,,,,Other,,Non-Functional,,,"No, the water is not treated and safe for drinking",,122.0,114.0,Improved,Well,,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,114.0,70.05953216552734,300.0,0.9344262295081968,0.38,23328.38502720144,13137.47535294196,660.2080549350015,26406.77045808553,33219.606794686224,False,1759,57.43823401913307,,,,,,,,10.0,1,0
-1.3388363,34.6898671,Yes,2021-01-28,USAID/KEA KIWASH,Borehole/Tubewell,Public Tapstand,KEN,Kenya,Migori,Kuria East,Ntimaru West,,Migori_enumerator-965RKZ,,6GCPMM6Q+FXR,1995.0,Community Based Organization/ Self-Help Group/ Faith Based Organization /NGO,,,Community Management,,"Functional, not in use",,,"No, the water is not treated and safe for drinking",Pump Kwa Polisi,4062.0,972.0,Improved,Well,Public Tapstand,2022-11-14T20:33:38,USAID_KIWASH_Kenya_2021,,,300.0,0.2392909896602658,3.24,68113.23481126167,4722.400665258248,855.369221505415,74520.48162818658,17892.70390154717,False,1774,57.16729571166073,,,,,,,,26.0,0,0
0.8141533136367798,34.94160461425781,Unknown,2023-12-15,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Bungoma,Tongaren,Tongaren,,10420207,,6GGPRW7R+MJ9,2006.5,,,,,,Non-Functional,,,,,1626.0,599.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,599.0,,300.0,0.3683886838868389,1.9966666666666664,23205.53544643946,7828.911367487773,5545.771577765338,49071.41169072128,21001.56448065996,False,723,79.62045621325636,,,,,,,,16.5,1,0
0.2985991537570953,34.24856185913086,Yes,2023-11-17,Evidence Action,Protected Well,Motorized Pump - Electric,KEN,Kenya,Siaya,Ugenya,North Ugenya,,10210127,,6GGP76XX+CCM,2010.0,,,,,,Non-Functional,,,,,1224.0,133.0,Improved,Well,Motorized Pump,2024-04-18T19:20:18,Evidence Action_Kenya_2023-2024,,,300.0,0.1086601307189542,0.4433333333333333,3591.0530276597165,2485.722845691559,1947.3558660002927,25666.274008793094,5162.383054322136,False,751,78.92082052600142,,,,,,,,13.0,1,0
