iter	Logloss
0	0.6450821307
1	0.5925462211
2	0.5555801407
3	0.5169815588
4	0.4836963982
5	0.4575144915
6	0.4347614579
7	0.4119422408
8	0.3906999649
9	0.3749202595
10	0.3606146088
11	0.3492863099
12	0.3363563226
13	0.3253964393
14	0.3158455482
15	0.3073909959
16	0.300396596
17	0.2945916203
18	0.2878663362
19	0.2833669944
20	0.278534831
21	0.2746983189
22	0.2699074933
23	0.2656742281
24	0.2628561011
25	0.260480951
26	0.2581528876
27	0.2555180881
28	0.2526686114
29	0.2507600652
30	0.2487109165
31	0.2471984762
32	0.2461283524
33	0.2444772484
34	0.2429570985
35	0.2419312492
36	0.240835436
37	0.2395801421
38	0.2384578047
39	0.2365884938
40	0.2353382979
41	0.2345898107
42	0.2336174746
43	0.2323014834
44	0.2315498188
45	0.2301323533
46	0.2293140399
47	0.228455745
48	0.2276835637
49	0.2270714771
50	0.2264819925
51	0.2258122265
52	0.2252658268
53	0.2245829282
54	0.2240700822
55	0.2235586185
56	0.2229859175
57	0.2224122533
58	0.2219220557
59	0.2215268774
60	0.2212724986
61	0.2208570826
62	0.2201426616
63	0.2198707651
64	0.2194372741
65	0.2189543956
66	0.218524434
67	0.2181830022
68	0.2179495124
69	0.2177326999
70	0.2174469951
71	0.2171850132
72	0.2168712562
73	0.2166625701
74	0.2164555709
75	0.2162457902
76	0.2159674051
77	0.2157277596
78	0.2155100804
79	0.215287905
80	0.2151472871
81	0.2145797546
82	0.21435802
83	0.2140044819
84	0.2138681366
85	0.2133965374
86	0.2132054095
87	0.2130193032
88	0.2127399867
89	0.2126193523
90	0.212430998
91	0.212122556
92	0.2120067504
93	0.2118114754
94	0.2116604919
95	0.2115665729
96	0.2114312955
97	0.2112850108
98	0.2111168891
99	0.2109726332
100	0.2107576473
101	0.2105444621
102	0.2101466264
103	0.2100011903
104	0.20989837
105	0.2094850848
106	0.2092632624
107	0.2091465352
108	0.2088371125
109	0.2087257058
110	0.2085653405
111	0.2084506152
112	0.2083058393
113	0.208090914
114	0.2077631458
115	0.2074552931
116	0.20722827
117	0.207093377
118	0.2068705797
119	0.2067494608
