iter	Passed	Remaining
0	16	16148
1	30	15176
2	46	15607
3	58	14650
4	67	13527
5	82	13732
6	100	14299
7	113	14133
8	131	14470
9	143	14213
10	164	14823
11	174	14343
12	191	14563
13	209	14731
14	225	14830
15	246	15142
16	257	14902
17	282	15433
18	292	15099
19	308	15113
20	323	15068
21	347	15446
22	358	15221
23	371	15112
24	392	15294
25	404	15151
26	415	14989
27	437	15174
28	453	15181
29	472	15263
30	489	15288
31	511	15470
32	523	15349
33	543	15442
34	553	15267
35	567	15205
36	588	15308
37	601	15217
38	618	15231
39	634	15227
40	647	15135
41	658	15013
42	677	15084
43	688	14953
44	700	14869
45	714	14810
46	726	14722
47	747	14817
48	758	14725
49	770	14648
50	788	14667
51	799	14581
52	814	14555
53	831	14570
54	852	14641
55	871	14685
56	880	14560
57	894	14520
58	909	14501
59	928	14551
60	948	14604
61	958	14496
62	980	14589
63	990	14480
64	1004	14442
65	1015	14366
66	1033	14391
67	1055	14465
68	1070	14442
69	1086	14434
70	1100	14399
71	1116	14394
72	1128	14336
73	1139	14264
74	1156	14267
75	1171	14248
76	1184	14198
77	1199	14178
78	1212	14138
79	1224	14077
80	1233	13995
81	1255	14058
82	1265	13981
83	1281	13979
84	1299	13984
85	1317	13997
86	1335	14015
87	1346	13957
88	1367	14000
89	1378	13937
90	1390	13887
91	1410	13924
92	1428	13933
93	1452	14003
94	1472	14029
95	1492	14049
96	1511	14067
97	1529	14078
98	1549	14099
99	1591	14319
100	1628	14496
101	1661	14628
102	1683	14658
103	1709	14731
104	1753	14945
105	1778	15001
106	1789	14934
107	1806	14916
108	1821	14887
109	1835	14852
110	1856	14866
111	1872	14842
112	1889	14829
113	1905	14812
114	1917	14755
115	1936	14760
116	1949	14715
117	1962	14670
118	1983	14684
119	2000	14668
120	2014	14637
121	2030	14610
122	2039	14544
123	2059	14552
124	2069	14484
125	2081	14437
126	2101	14448
127	2112	14394
128	2128	14374
129	2146	14364
130	2161	14339
131	2173	14290
132	2188	14263
133	2197	14202
134	2221	14231
135	2230	14169
136	2247	14158
137	2264	14145
138	2286	14164
139	2298	14117
140	2309	14071
141	2328	14068
142	2344	14053
143	2362	14042
144	2377	14016
145	2385	13956
146	2406	13965
147	2422	13944
148	2431	13886
149	2444	13852
150	2460	13836
151	2471	13790
152	2486	13766
153	2503	13750
154	2523	13757
155	2543	13758
156	2554	13714
157	2572	13711
158	2586	13680
159	2595	13626
160	2618	13646
161	2635	13631
162	2644	13579
163	2657	13548
164	2671	13517
165	2689	13511
166	2707	13504
167	2720	13471
168	2737	13459
169	2754	13446
170	2773	13443
171	2783	13399
172	2802	13395
173	2816	13370
174	2835	13367
175	2851	13352
176	2865	13324
177	2878	13292
178	2889	13253
179	2899	13206
180	2918	13204
181	2929	13168
182	2936	13111
183	2950	13086
184	2965	13065
185	2982	13050
186	2997	13033
187	3016	13026
188	3030	13002
189	3047	12991
190	3063	12974
191	3079	12959
192	3096	12945
193	3109	12918
194	3136	12946
195	3147	12911
196	3159	12876
197	3176	12865
198	3191	12846
199	3204	12817
200	3214	12777
201	3231	12767
202	3245	12741
203	3268	12752
204	3277	12708
205	3288	12674
206	3305	12662
207	3318	12635
208	3330	12605
209	3341	12570
210	3358	12558
211	3370	12528
212	3391	12530
213	3403	12501
214	3421	12491
215	3437	12477
216	3452	12459
217	3468	12441
218	3480	12413
219	3490	12373
220	3513	12384
221	3522	12343
222	3537	12325
223	3553	12308
224	3568	12292
225	3588	12288
226	3604	12274
227	3619	12255
228	3632	12229
229	3652	12226
230	3663	12195
231	3674	12163
232	3683	12125
233	3707	12135
234	3717	12102
235	3734	12088
236	3749	12071
237	3762	12047
238	3785	12052
